187.180.226.128/25,BR,BR-RJ,Teresópolis,
187.180.225.128/25,BR,BR-RJ,Teresópolis,
187.180.252.0/22,BR,BR-RJ,Teresópolis,
187.180.248.0/22,BR,BR-RJ,Teresópolis,
187.180.240.0/21,BR,BR-RJ,Teresópolis,
187.180.232.0/22,BR,BR-RJ,Teresópolis,
187.180.228.0/23,BR,BR-RJ,Teresópolis,
187.180.230.0/23,BR,BR-RJ,Teresópolis,
187.180.236.0/22,BR,BR-RJ,Teresópolis,
187.182.72.16/30,BR,BR-SP,Guarulhos,
187.182.36.0/24,BR,BR-SP,Guarulhos,
201.46.249.0/24,BR,BR-SP,Guarulhos,
201.46.248.0/24,BR,BR-SP,Guarulhos,
201.46.247.0/24,BR,BR-SP,Guarulhos,
187.22.240.0/22,BR,BR-SP,Guarulhos,
179.215.160.0/23,BR,BR-SP,Guarulhos,
179.215.154.0/23,BR,BR-SP,Guarulhos,
187.22.236.0/22,BR,BR-SP,Guarulhos,
187.2.148.12/30,BR,BR-SP,Presidente Prudente,
187.2.147.0/25,BR,BR-SP,Presidente Prudente,
187.2.149.0/24,BR,BR-SP,Presidente Prudente,
201.74.170.0/23,BR,BR-SP,Presidente Prudente,
187.2.152.0/22,BR,BR-SP,Presidente Prudente,
201.74.174.0/23,BR,BR-SP,Presidente Prudente,
187.2.144.0/23,BR,BR-SP,Presidente Prudente,
187.65.180.0/23,BR,BR-SP,Presidente Prudente,
201.74.162.0/23,BR,BR-SP,Presidente Prudente,
201.74.164.0/23,BR,BR-SP,Presidente Prudente,
201.74.160.0/23,BR,BR-SP,Presidente Prudente,
187.65.182.0/23,BR,BR-SP,Presidente Prudente,
187.65.176.0/22,BR,BR-SP,Presidente Prudente,
187.255.184.0/22,BR,BR-SP,Presidente Prudente,
201.74.166.0/23,BR,BR-SP,Presidente Prudente,
187.2.148.0/30,BR,BR-SP,Presidente Prudente,
187.2.146.0/25,BR,BR-SP,Presidente Prudente,
187.2.149.0/24,BR,BR-SP,Presidente Prudente,
187.2.156.0/22,BR,BR-SP,Presidente Prudente,
201.74.168.0/23,BR,BR-SP,Presidente Prudente,
187.2.252.24/30,BR,BR-SP,Mogi das Cruzes,
177.143.9.0/24,BR,BR-SP,Mogi das Cruzes,
201.74.182.0/24,BR,BR-SP,Mogi das Cruzes,
201.62.101.0/25,BR,BR-SP,Mogi das Cruzes,
201.62.101.128/25,BR,BR-SP,Mogi das Cruzes,
191.178.226.0/23,BR,BR-SP,Mogi das Cruzes,
189.55.184.0/22,BR,BR-SP,Mogi das Cruzes,
179.152.196.0/24,BR,BR-SP,Mogi das Cruzes,
177.143.84.0/24,BR,BR-SP,Mogi das Cruzes,
177.143.42.0/24,BR,BR-SP,Mogi das Cruzes,
187.123.242.0/23,BR,BR-SP,Mogi das Cruzes,
177.143.58.0/23,BR,BR-SP,Mogi das Cruzes,
187.66.216.0/23,BR,BR-SP,Mogi das Cruzes,
179.152.220.0/23,BR,BR-SP,Mogi das Cruzes,
201.74.176.0/22,BR,BR-SP,Mogi das Cruzes,
191.188.172.0/23,BR,BR-SP,Mogi das Cruzes,
187.21.76.0/30,BR,BR-SP,Guarujá,
187.21.65.0/24,BR,BR-SP,Guarujá,
187.21.118.0/24,BR,BR-SP,Guarujá,
187.21.79.0/24,BR,BR-SP,Guarujá,
187.22.64.8/30,BR,BR-SP,São Vicente,
187.22.10.0/24,BR,BR-SP,São Vicente,
187.22.9.0/24,BR,BR-SP,São Vicente,
187.22.8.0/24,BR,BR-SP,São Vicente,
187.22.20.0/23,BR,BR-SP,São Vicente,
187.22.4.0/22,BR,BR-SP,São Vicente,
179.157.222.0/24,BR,BR-SP,São Vicente,
179.157.196.0/22,BR,BR-SP,São Vicente,
187.22.64.80/30,BR,BR-SP,São Vicente,
187.22.10.0/24,BR,BR-SP,São Vicente,
187.22.8.0/24,BR,BR-SP,São Vicente,
187.22.9.0/24,BR,BR-SP,São Vicente,
179.215.64.0/24,BR,BR-SP,São Vicente,
187.22.32.0/22,BR,BR-SP,São Vicente,
187.23.81.4/30,BR,BR-SP,São José do Rio Preto,
179.222.221.0/24,BR,BR-SP,São José do Rio Preto,
189.7.35.0/24,BR,BR-SP,São José do Rio Preto,
189.7.34.0/24,BR,BR-SP,São José do Rio Preto,
189.7.33.0/24,BR,BR-SP,São José do Rio Preto,
